IdCliente,Nombre,FechaNacimiento,Genero,Nacionalidad,ProvinciaResidencia,Estudios,TipoCliente
1,"el-Iqbal, Turki",1963-06-26,M,B.L.,SEGOVIA,PreUniversitario,V I P
2,"Mccurdy, Alexandria",1966-05-03,F,ES,Guadalajara,Secundario,COMUN
3,"Huffman, Morgan",1978-01-18,NA,ES,TERUEL,Primario,VIP
4,"Archuleta, Matthew",1948-07-24,M,ES,Granada,PreUniversitario,NUEVO
5,"Palomino-Sanchez, Jonathan",1991-09-17,NA,MC,Huelva,Primario,Nuebo
6,"Meza Pelayo, Destini",1957-07-09,M,ES,Lugo,Primario,vip
7,"Anderstrom, Cassidy",1967-08-15,NA,Gu,cuenca,Universitario,Común
8,"Huffman, Riley",1978-06-12,f,ES,Avila,PreUniversitario,COMUN
9,"Ngu, Chris",1993-07-22,f,ES,Islas Balears,Universitario,Común
10,"al-Rashid, Haafiza",1970-10-06,f,ES,Toledo,PreUniversitario,V.I.P.
11,"Yeager, Juan",1992-08-06,NA,Ec,Guadalajara,Primario,COMUN
12,"Estrellado, Onthima",1952-12-25,f,ES,Soria,PreUniversitario,Común
13,"al-Harroun, Abdul Haleem",1951-12-23,m,BY,Pontevedra,Secundario,COMUN
14,"Keys, Zachary",1977-03-21,f,ES,burgos,Secundario,Común
15,"Diawara, Tori",1976-09-12,F,ES,Orense,Primario,V.I.P.
16,"Sosa, Laycee",1946-09-12,NA,ES,SANTA CRUZ DE TENERIFE,Universitario,vip
17,"Laima, Allison",1987-04-06,m,UG,SORIA,Secundario,V I P
18,"Trujillo, Adrian",1959-06-29,f,ES,Pontevedra,Universitario,nuevo
19,"Kubiak, Devon",1986-10-13,f,G.T.,ALICANTE,Primario,V I P
20,"Pryor, David",1966-05-28,M,ES,Cuenca,PreUniversitario,V.I.P.
21,"Box, Emma",1966-09-21,M,ES,SALAMANCA,Universitario,VIP
22,"el-Sadek, Badraan",1992-05-03,m,ES,HUELVA,Secundario,Comun
23,"Wong, Adam",1994-02-06,M,ps,Toledo,Primario,V I P
24,"Thorpe, Charis",1942-05-22,F,ES,albacete,Primario,COMUN
25,"al-Akhtar, Huda",1960-06-10,F,GY,SORIA,Secundario,nuevo
26,"Luckey, Kody",1976-08-24,m,ES,Alava,Universitario,VIP
27,"Emerson, Matthew",1982-01-28,M,ES,Salamanca,Universitario,Común
28,"al-Satter, Kulthum",1942-08-05,F,ES,LA CORUÑA,PreUniversitario,vip
29,"el-Tawil, Raadiya",1971-04-26,m,M.G.,Castellón,Universitario,VIP
30,"el-Malek, Raaida",1963-05-10,m,ES,GERONA,PreUniversitario,VIP
31,"Mustafa, Renee",1986-07-26,F,GB,Guipúzcoa,Primario,Comun
32,"Xiong, Sarah",1983-06-12,m,ES,Islas Balears,PreUniversitario,COMUN
33,"Collins, Elmunzir",1984-08-23,f,ES,Navarra,Universitario,Comun
34,"Schmalz, Rachel",1960-12-09,f,ES,las palmas,Secundario,COMUN
35,"Vigil, Michelle",1964-03-11,m,Ee,salamanca,Primario,NUEVO
36,"Dumon, Justin",1983-08-19,m,ES,Zamora,Universitario,Común
37,"Roberts, Devonte",1989-10-21,M,NA,Toledo,Secundario,V.I.P.
38,"Muhammad, Alexis",1989-06-09,NA,ES,Guadalajara,Secundario,NUEVO
39,"Ramirez, Mateo",1954-08-14,F,ES,Soria,Primario,NUEVO
40,"Torres, Steffany",1975-09-14,M,ES,zamora,Primario,Comun
41,"el-Nazir, Naqiyya",1972-07-17,f,D.J.,islas balears,Universitario,NUEVO
42,"Hartt, Ambrosia",1943-12-09,f,ES,LA RIOJA,PreUniversitario,NUEVO
